,MVP weight,Max Sharpe weight,Equal weight
ADANIENT,4.0016580732327356e-18,0.08860990683119375,0.02
ADANIPORTS,0.0,0.0,0.02
APOLLOHOSP,3.0570765369627576e-17,0.11314365618231892,0.02
ASIANPAINT,0.03928538751967226,0.0,0.02
AXISBANK,4.6640363975783196e-17,4.551275732252728e-16,0.02
BAJAJ-AUTO,0.02558216627747407,0.03961423662369274,0.02
BAJAJFINSV,0.0,0.0,0.02
BAJFINANCE,3.427941446987353e-17,0.0,0.02
BHARTIARTL,0.03132716974510692,0.29434963333501446,0.02
BPCL,3.897441779231387e-19,0.0,0.02
BRITANNIA,0.05915179969893039,0.0,0.02
CIPLA,0.08936192970538308,0.0,0.02
COALINDIA,0.029006350043070016,0.0,0.02
DIVISLAB,0.01767656440238466,0.07585436738537749,0.02
DRREDDY,0.08881635184345649,0.0,0.02
EICHERMOT,1.6254498854516652e-17,4.629330777386579e-17,0.02
GRASIM,1.1350426218100094e-17,0.0,0.02
HCLTECH,4.682664388298746e-18,0.09241108719540066,0.02
HDFCBANK,0.07150158818567424,3.780905412313579e-16,0.02
HDFCLIFE,0.0,0.0,0.02
HEROMOTOCO,0.0,7.557739533228798e-17,0.02
HINDALCO,7.289124194824238e-18,3.335417304114008e-17,0.02
HINDUNILVR,0.07577641719697771,1.6443757888751286e-16,0.02
ICICIBANK,0.0,0.0,0.02
INDUSINDBK,0.0,2.628059422198233e-15,0.02
INFY,0.0,0.0,0.02
ITC,0.10076021673134106,0.0,0.02
JSWSTEEL,3.870694368226335e-17,0.0,0.02
KOTAKBANK,0.0,3.9766154298301594e-16,0.02
LT,0.0,0.0,0.02
LTM,0.0,0.0,0.02
M&M,0.0,0.0,0.02
MARUTI,0.0,1.0852758007742684e-16,0.02
NESTLEIND,0.10584942832145158,0.0,0.02
NTPC,0.009579091594954098,0.0,0.02
ONGC,1.7344207742780341e-19,0.0,0.02
POWERGRID,0.08835261834954322,0.026779935218238193,0.02
RELIANCE,0.0,0.0,0.02
SBILIFE,0.017368212643094492,0.0,0.02
SBIN,9.745758989733197e-18,0.0,0.02
SUNPHARMA,0.028379837323290753,0.08701879388951456,0.02
TATACONSUM,0.0,0.1265255935221551,0.02
TATASTEEL,0.0,0.0,0.02
TCS,0.12222487041819503,7.583583361579769e-17,0.02
TECHM,0.0,0.0,0.02
TITAN,1.9082621292650946e-18,0.05569278981709415,0.02
TMPV,0.0,5.788347743587907e-16,0.02
ULTRACEMCO,1.1616021420837e-17,0.0,0.02
UPL,4.813846692637936e-18,1.3849703151648168e-16,0.02
WIPRO,0.0,5.617118784441305e-16,0.02
